Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.01%,0.07%,3.02MB / 2.9MB
shirine_detector_1,781.54%,0.57%,2.89MB / 5.58kB
shirine_combiner_1,12.26%,0.08%,5.83MB / 5.12MB
shirine_extractor_1,0.20%,0.14%,3.04MB / 17.3MB
shirine_detector_1,741.45%,1.05%,20.2MB / 17.5MB
shirine_combiner_1,0.02%,0.08%,23.3MB / 20.5MB
shirine_extractor_1,0.24%,0.14%,3.07MB / 34.6MB
shirine_detector_1,463.77%,1.11%,40.4MB / 37.9MB
shirine_combiner_1,0.02%,0.08%,40.8MB / 35.8MB
shirine_extractor_1,0.20%,0.14%,3.1MB / 51.9MB
shirine_detector_1,337.89%,1.25%,57.8MB / 55.4MB
shirine_combiner_1,0.02%,0.08%,58.3MB / 51.2MB
shirine_extractor_1,6.79%,0.14%,3.12MB / 69.2MB
shirine_detector_1,795.70%,1.07%,75.1MB / 72.9MB
shirine_combiner_1,0.06%,0.08%,75.8MB / 66.6MB
shirine_extractor_1,6.82%,0.14%,3.16MB / 89.4MB
shirine_detector_1,717.73%,1.16%,92.4MB / 90.5MB
shirine_combiner_1,0.02%,0.08%,93.4MB / 82MB
shirine_extractor_1,0.14%,0.14%,3.18MB / 104MB
shirine_detector_1,795.77%,1.17%,110MB / 108MB
shirine_combiner_1,0.03%,0.08%,111MB / 97.5MB
shirine_extractor_1,7.89%,0.14%,3.21MB / 121MB
shirine_detector_1,796.58%,1.09%,127MB / 126MB
shirine_combiner_1,0.03%,0.08%,128MB / 113MB
shirine_extractor_1,6.92%,0.14%,3.23MB / 138MB
shirine_detector_1,794.18%,1.27%,144MB / 143MB
shirine_combiner_1,0.03%,0.08%,146MB / 128MB
shirine_extractor_1,6.90%,0.14%,3.26MB / 156MB
shirine_detector_1,797.30%,1.06%,162MB / 161MB
shirine_combiner_1,0.03%,0.08%,164MB / 144MB
shirine_extractor_1,7.20%,0.14%,3.28MB / 173MB
shirine_detector_1,796.62%,0.96%,179MB / 178MB
shirine_combiner_1,0.03%,0.08%,181MB / 159MB
shirine_extractor_1,0.18%,0.14%,3.31MB / 190MB
shirine_detector_1,729.59%,1.21%,194MB / 193MB
shirine_combiner_1,0.03%,0.08%,199MB / 174MB
shirine_extractor_1,0.20%,0.14%,3.34MB / 208MB
shirine_detector_1,461.59%,1.00%,214MB / 213MB
shirine_combiner_1,0.02%,0.08%,216MB / 190MB
shirine_extractor_1,0.19%,0.14%,3.37MB / 225MB
