Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_detector_1,723.62%,1.17%,528MB / 530MB
shirine_combiner_1,0.31%,0.11%,533MB / 533MB
shirine_extractor_1,0.47%,0.16%,3.75MB / 540MB
shirine_detector_1,725.65%,1.22%,541MB / 543MB
shirine_combiner_1,9.57%,0.10%,545MB / 545MB
shirine_extractor_1,0.37%,0.16%,3.77MB / 552MB
shirine_detector_1,793.20%,1.15%,556MB / 559MB
shirine_combiner_1,0.25%,0.10%,561MB / 561MB
shirine_extractor_1,0.32%,0.15%,3.78MB / 565MB
shirine_detector_1,533.30%,1.22%,571MB / 574MB
shirine_combiner_1,0.31%,0.11%,576MB / 576MB
shirine_extractor_1,5.13%,0.17%,3.8MB / 578MB
shirine_detector_1,34.73%,1.24%,584MB / 587MB
shirine_combiner_1,0.27%,0.10%,589MB / 589MB
shirine_extractor_1,0.24%,0.16%,3.82MB / 590MB
shirine_detector_1,701.69%,1.19%,596MB / 600MB
shirine_combiner_1,0.31%,0.10%,602MB / 602MB
shirine_extractor_1,5.09%,0.17%,3.84MB / 605MB
shirine_detector_1,649.90%,1.24%,609MB / 612MB
shirine_combiner_1,9.61%,0.10%,615MB / 615MB
shirine_extractor_1,0.36%,0.16%,3.86MB / 621MB
shirine_detector_1,729.63%,1.14%,622MB / 625MB
shirine_combiner_1,0.20%,0.11%,628MB / 628MB
shirine_extractor_1,0.38%,0.17%,3.88MB / 633MB
shirine_detector_1,794.05%,1.17%,637MB / 641MB
shirine_combiner_1,9.41%,0.10%,643MB / 643MB
shirine_extractor_1,0.49%,0.16%,3.89MB / 646MB
shirine_detector_1,699.95%,1.27%,650MB / 656MB
shirine_combiner_1,0.21%,0.11%,658MB / 659MB
shirine_extractor_1,0.29%,0.17%,3.91MB / 659MB
shirine_detector_1,795.61%,1.18%,663MB / 667MB
shirine_combiner_1,0.21%,0.10%,671MB / 672MB
shirine_extractor_1,0.33%,0.17%,3.93MB / 674MB
shirine_detector_1,708.59%,1.17%,675MB / 680MB
shirine_combiner_1,0.21%,0.11%,684MB / 684MB
shirine_extractor_1,4.88%,0.17%,3.95MB / 687MB
shirine_detector_1,727.10%,1.24%,691MB / 695MB
shirine_combiner_1,0.21%,0.11%,697MB / 697MB
shirine_extractor_1,5.45%,0.17%,3.97MB / 702MB
shirine_detector_1,795.53%,1.14%,706MB / 711MB
shirine_combiner_1,9.70%,0.10%,713MB / 713MB
shirine_extractor_1,4.91%,0.16%,3.98MB / 712MB
shirine_detector_1,797.35%,1.14%,719MB / 723MB
shirine_combiner_1,0.24%,0.11%,725MB / 726MB
shirine_extractor_1,0.35%,0.16%,4MB / 730MB
shirine_detector_1,725.39%,1.14%,734MB / 739MB
shirine_combiner_1,0.23%,0.11%,741MB / 741MB
