Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_detector_1,519.55%,1.05%,591MB / 595MB
shirine_combiner_1,0.00%,0.11%,597MB / 525MB
shirine_extractor_1,0.21%,0.14%,3.93MB / 602MB
shirine_detector_1,794.87%,1.10%,608MB / 612MB
shirine_combiner_1,0.00%,0.11%,614MB / 540MB
shirine_extractor_1,6.39%,0.15%,3.96MB / 619MB
shirine_detector_1,794.82%,1.01%,623MB / 627MB
shirine_combiner_1,0.00%,0.11%,629MB / 553MB
shirine_extractor_1,0.18%,0.14%,3.98MB / 633MB
shirine_detector_1,795.21%,1.08%,637MB / 641MB
shirine_combiner_1,10.76%,0.11%,646MB / 568MB
shirine_extractor_1,0.15%,0.14%,4.01MB / 648MB
shirine_detector_1,625.04%,1.13%,652MB / 656MB
shirine_combiner_1,0.00%,0.11%,661MB / 581MB
shirine_extractor_1,0.22%,0.14%,4.03MB / 665MB
shirine_detector_1,703.76%,1.02%,669MB / 674MB
shirine_combiner_1,0.00%,0.11%,676MB / 594MB
shirine_extractor_1,6.24%,0.14%,4.05MB / 680MB
shirine_detector_1,795.80%,1.09%,686MB / 691MB
shirine_combiner_1,0.00%,0.11%,693MB / 609MB
shirine_extractor_1,7.01%,0.14%,4.08MB / 697MB
shirine_detector_1,795.53%,1.06%,701MB / 706MB
shirine_combiner_1,0.00%,0.11%,708MB / 622MB
shirine_extractor_1,0.13%,0.15%,4.1MB / 711MB
shirine_detector_1,795.72%,1.05%,715MB / 721MB
shirine_combiner_1,0.00%,0.11%,723MB / 635MB
shirine_extractor_1,0.19%,0.14%,4.12MB / 726MB
shirine_detector_1,728.36%,1.09%,730MB / 735MB
shirine_combiner_1,3.36%,0.11%,737MB / 648MB
shirine_extractor_1,0.18%,0.14%,4.15MB / 743MB
shirine_detector_1,728.76%,1.15%,744MB / 750MB
shirine_combiner_1,0.00%,0.11%,752MB / 661MB
shirine_extractor_1,0.20%,0.15%,4.17MB / 758MB
shirine_detector_1,787.55%,1.03%,762MB / 768MB
shirine_combiner_1,12.35%,0.11%,770MB / 677MB
shirine_extractor_1,0.21%,0.15%,4.19MB / 772MB
shirine_detector_1,791.83%,1.13%,776MB / 782MB
shirine_combiner_1,0.00%,0.12%,787MB / 692MB
shirine_extractor_1,0.20%,0.14%,4.22MB / 787MB
shirine_detector_1,685.17%,1.04%,791MB / 800MB
shirine_combiner_1,0.00%,0.11%,802MB / 705MB
shirine_extractor_1,0.21%,0.14%,4.24MB / 804MB
shirine_detector_1,727.15%,1.03%,808MB / 815MB
shirine_combiner_1,0.00%,0.11%,816MB / 718MB
shirine_extractor_1,0.19%,0.14%,4.27MB / 818MB
shirine_detector_1,639.22%,1.08%,822MB / 829MB
shirine_combiner_1,10.83%,0.11%,831MB / 730MB
shirine_extractor_1,0.21%,0.14%,4.29MB / 833MB
shirine_detector_1,798.44%,1.13%,840MB / 846MB
shirine_combiner_1,0.00%,0.11%,848MB / 746MB
