Container,CPU Usage,Memory Usage,Network Usage
shirine_extractor_1,0.32%,102.79MiB,3.69MB / 494MB
shirine_detector_1,451.62%,764.52MiB,500MB / 502MB
shirine_combiner_1,0.31%,70.67MiB,504MB / 505MB
shirine_extractor_1,0.36%,102.79MiB,3.71MB / 509MB
shirine_detector_1,796.58%,777.37MiB,513MB / 515MB
shirine_combiner_1,7.01%,64.25MiB,520MB / 520MB
shirine_extractor_1,0.28%,102.79MiB,3.73MB / 524MB
shirine_detector_1,723.62%,751.68MiB,528MB / 530MB
shirine_combiner_1,0.31%,70.67MiB,533MB / 533MB
shirine_extractor_1,0.47%,102.79MiB,3.75MB / 540MB
shirine_detector_1,725.65%,783.80MiB,541MB / 543MB
shirine_combiner_1,9.57%,64.25MiB,545MB / 545MB
shirine_extractor_1,0.37%,102.79MiB,3.77MB / 552MB
shirine_detector_1,793.20%,738.83MiB,556MB / 559MB
shirine_combiner_1,0.25%,64.25MiB,561MB / 561MB
shirine_extractor_1,0.32%,96.37MiB,3.78MB / 565MB
shirine_detector_1,533.30%,783.80MiB,571MB / 574MB
shirine_combiner_1,0.31%,70.67MiB,576MB / 576MB
shirine_extractor_1,5.13%,109.22MiB,3.8MB / 578MB
shirine_detector_1,34.73%,796.65MiB,584MB / 587MB
shirine_combiner_1,0.27%,64.25MiB,589MB / 589MB
shirine_extractor_1,0.24%,102.79MiB,3.82MB / 590MB
shirine_detector_1,701.69%,764.52MiB,596MB / 600MB
shirine_combiner_1,0.31%,64.25MiB,602MB / 602MB
shirine_extractor_1,5.09%,109.22MiB,3.84MB / 605MB
shirine_detector_1,649.90%,796.65MiB,609MB / 612MB
shirine_combiner_1,9.61%,64.25MiB,615MB / 615MB
shirine_extractor_1,0.36%,102.79MiB,3.86MB / 621MB
shirine_detector_1,729.63%,732.40MiB,622MB / 625MB
shirine_combiner_1,0.20%,70.67MiB,628MB / 628MB
shirine_extractor_1,0.38%,109.22MiB,3.88MB / 633MB
shirine_detector_1,794.05%,751.68MiB,637MB / 641MB
shirine_combiner_1,9.41%,64.25MiB,643MB / 643MB
shirine_extractor_1,0.49%,102.79MiB,3.89MB / 646MB
shirine_detector_1,699.95%,815.92MiB,650MB / 656MB
shirine_combiner_1,0.21%,70.67MiB,658MB / 659MB
shirine_extractor_1,0.29%,109.22MiB,3.91MB / 659MB
shirine_detector_1,795.61%,758.10MiB,663MB / 667MB
shirine_combiner_1,0.21%,64.25MiB,671MB / 672MB
shirine_extractor_1,0.33%,109.22MiB,3.93MB / 674MB
shirine_detector_1,708.59%,751.68MiB,675MB / 680MB
shirine_combiner_1,0.21%,70.67MiB,684MB / 684MB
shirine_extractor_1,4.88%,109.22MiB,3.95MB / 687MB
shirine_detector_1,727.10%,796.65MiB,691MB / 695MB
shirine_combiner_1,0.21%,70.67MiB,697MB / 697MB
shirine_extractor_1,5.45%,109.22MiB,3.97MB / 702MB
shirine_detector_1,795.53%,732.40MiB,706MB / 711MB
shirine_combiner_1,9.70%,64.25MiB,713MB / 713MB
shirine_extractor_1,4.91%,102.79MiB,3.98MB / 712MB
shirine_detector_1,797.35%,732.40MiB,719MB / 723MB
shirine_combiner_1,0.24%,70.67MiB,725MB / 726MB
shirine_extractor_1,0.35%,102.79MiB,4MB / 730MB
shirine_detector_1,725.39%,732.40MiB,734MB / 739MB
shirine_combiner_1,0.23%,70.67MiB,741MB / 741MB
shirine_extractor_1,0.36%,109.22MiB,4.02MB / 743MB
shirine_detector_1,701.23%,912.29MiB,747MB / 752MB
shirine_combiner_1,0.22%,70.67MiB,753MB / 754MB
shirine_extractor_1,0.23%,109.22MiB,4.04MB / 756MB
shirine_detector_1,800.48%,790.22MiB,760MB / 765MB
shirine_combiner_1,9.78%,64.25MiB,769MB / 769MB
shirine_extractor_1,0.32%,109.22MiB,4.06MB / 769MB
shirine_detector_1,466.54%,777.37MiB,774MB / 778MB
shirine_combiner_1,11.39%,64.25MiB,781MB / 781MB
shirine_extractor_1,0.32%,109.22MiB,4.08MB / 787MB
shirine_detector_1,706.41%,764.52MiB,791MB / 797MB
shirine_combiner_1,0.23%,64.25MiB,799MB / 799MB
shirine_extractor_1,0.44%,109.22MiB,4.1MB / 802MB
shirine_detector_1,797.67%,783.80MiB,807MB / 812MB
shirine_combiner_1,0.22%,70.67MiB,819MB / 819MB
shirine_extractor_1,0.30%,109.22MiB,4.13MB / 820MB
shirine_detector_1,795.26%,796.65MiB,825MB / 831MB
shirine_combiner_1,12.18%,57.82MiB,833MB / 834MB
shirine_extractor_1,0.30%,109.22MiB,4.15MB / 837MB
shirine_detector_1,429.75%,777.37MiB,842MB / 848MB
shirine_combiner_1,0.26%,70.67MiB,850MB / 850MB
shirine_extractor_1,0.32%,109.22MiB,4.18MB / 855MB
shirine_detector_1,795.63%,751.68MiB,860MB / 866MB
shirine_combiner_1,0.27%,57.82MiB,868MB / 869MB
shirine_extractor_1,4.74%,109.22MiB,4.2MB / 870MB
shirine_detector_1,797.90%,745.25MiB,874MB / 881MB
shirine_combiner_1,0.31%,70.67MiB,883MB / 883MB
shirine_extractor_1,0.32%,109.22MiB,4.22MB / 883MB
shirine_detector_1,580.45%,751.68MiB,888MB / 895MB
shirine_combiner_1,0.27%,70.67MiB,896MB / 897MB
shirine_extractor_1,0.36%,109.22MiB,4.24MB / 899MB
shirine_detector_1,744.40%,745.25MiB,904MB / 911MB
shirine_combiner_1,0.28%,70.67MiB,913MB / 913MB
shirine_extractor_1,4.82%,109.22MiB,4.26MB / 913MB
shirine_detector_1,795.81%,809.50MiB,917MB / 924MB
shirine_combiner_1,0.29%,70.67MiB,926MB / 926MB
shirine_extractor_1,0.26%,109.22MiB,4.27MB / 923MB
shirine_detector_1,710.45%,803.07MiB,928MB / 935MB
shirine_combiner_1,0.17%,70.67MiB,939MB / 939MB
shirine_extractor_1,0.31%,109.22MiB,4.29MB / 939MB
shirine_detector_1,513.08%,738.83MiB,943MB / 951MB
shirine_combiner_1,0.25%,70.67MiB,952MB / 953MB
shirine_extractor_1,0.35%,109.22MiB,4.31MB / 952MB
shirine_detector_1,696.43%,751.68MiB,956MB / 964MB
shirine_combiner_1,0.23%,70.67MiB,968MB / 968MB
shirine_extractor_1,0.26%,109.22MiB,4.32MB / 965MB
shirine_detector_1,722.33%,745.25MiB,969MB / 977MB
